district_from_geo,population,km2,density,metro
район Печатники,86912,"2,04",42604,1
район Строгино,164297,"4,11",39975,1
район Отрадное,174163,"4,42",39403,1
район Бутырский,63453,1778,35688,1
район Крылатский,69909,2,34955,1
район Алтуфьево,294394,"8,62",34152,2
район Метрогородок,34287,1013,33847,0
район Марьинско-Люблинский,447548,"13,25",33777,2
район Лихоборы,153791,"4,59",33506,1
район Сходня,272823,"8,22",33190,2
район Речник,93924,2845,33014,1
район Гольяново-Измайлово,409765,"12,73",32189,3
район Бирюлевский,200129,"6,3",31767,0
район Мневники,172054,"5,46",31512,0
район Ясеневский,164968,"5,3",31126,2
район Домодедово-Борисовский,427294,"13,73",31121,5
район Южнопортовый,44450,"1,46",30445,1
район Теплостанский,230964,"7,68",30073,3
район Бабушкинский,414063,"13,89",29810,3
район Коломенский,141422,"4,89",28921,1
район Ховринский,154797,"5,38",28773,0
район Дегунинский,289750,"10,54",27491,0
район Чертановский,430878,"16,1",26763,9
район Капотня,25841,967,26723,0
район Щукинский,55621,2108,26386,1
район Кузьминки,236019,"8,95",26371,2
район Царицинский,145429,"5,58",26063,2
район Новогиреево,341238,"13,2",25851,2
район Рязанский,234481,"9,42",24892,2
район Каширский,53263,2142,24866,1
район Можайский,124934,"5,04",24788,0
район Молодежный,129690,"5,26",24656,1
район Октябрькопольный,55622,2376,23410,1
район Преображенско-Богородское,165556,"7,1",23318,2
район Ярославский,83714,"3,68",22748,0
район ВДНХ,118109,"5,46",21632,2
район Ростокино,33531,"1,56",21494,0
район Фили-Давыдковский,43553,2055,21194,1
район Филевский,85138,4128,20625,5
район Таганский,149690,"7,51",19932,6
район Пресненский,103899,"5,28",19678,4
район Хорошевский,60392,"3,09",19544,2
район Тимирязевский,57631,"2,96",19470,3
район Университетский,511011,"26,35",19393,5
район Соколо-Савеловский,161925,"8,36",19369,3
район Басманный,80254,"4,17",19246,2
район Достоевский,161741,"8,73",18527,7
район Раменки,104009,"5,64",18441,0
район Сокольники,49567,2722,18210,1
район Дорогомиловский,30379,1771,17154,2
район Юго-Западный,140984,"9,54",14778,1
район Матвеевский,27844,1939,14360,0
район Шаболовско-Серпуховский,80064,"6,1",13125,3
район Хамовники,60009,"5,2",11540,3
район Садовый,171948,"18,11",9495,20
